id,created_at,is_active,name,user_id
1,8/3/2019 10:14,1,Лошо качество с външни белези,36211
2,8/3/2019 10:14,1,Изтекъл срок,14199
3,8/3/2019 10:14,1,Повреден продукт,14199
4,11/3/2019 13:52,1,Оплакване от доставчик,14199
5,11/3/2019 13:54,0,Кратък срок,14199
6,11/3/2019 13:55,1,Лошо пакетиране,14199
7,11/3/2019 13:55,1,Разлика в тегло,14199
8,11/3/2019 13:55,1,Липсващ продукт,14199
9,11/3/2019 13:56,0,Забравено замразено,14199
10,11/3/2019 13:56,0,Забравена аптека,14199
12,13/3/2019 11:07,1,Доставен продукт в повече,9153
13,13/3/2019 11:35,1,Объркан продукт,9153
14,13/3/2019 19:12,0,Грешка при обединяването,9153
15,19/3/2019 15:10,1,Лошо качество - в срок на годност/без външни белези,36211
16,20/3/2019 10:16,0,Забравена торба,9153
17,26/3/2019 12:18,0,Забравен продукт от доставчик,9153
18,28/3/2019 11:44,0,Грешка при товаренето,9153
19,5/6/2019 09:21,1,Топли продукти,36211
20,7/7/2019 16:20,1,Разменени торби,9153
21,3/8/2019 17:23,1,Недоставена торба (останалa в склад/бус),36211
22,10/8/2019 10:05,0,Забравена касетка,9153
23,5/5/2020 14:35,0,-,36211
24,5/5/2020 14:35,0,--,36211
25,20/5/2020 08:12,1,Размразени продукти,36211
26,2/7/2020 10:56,0,123,36211
27,2/7/2020 19:29,0,Недоставена торба,36211
28,13/7/2020 11:24,0,123456,36211
29,20/7/2020 07:34,1,Кратък срок,36211
30,4/8/2021 09:18,1,Обединена торба от доставчик,68571
31,11/11/2021 10:19,1,Дефектен продукт,88143
32,11/11/2021 10:21,1,Грешно описание на сайта,88143
33,6/12/2021 10:16,1,Липсващ продукт след касов контрол,88143
34,11/2/2022 14:59,1,Оплакване - информация от склада,88143
35,20/4/2022 10:21,1,Ранна доставка,110741
36,20/4/2022 10:21,1,Ресто,110741
37,20/4/2022 10:22,1,Отношение,110741
38,20/4/2022 10:22,0,Торба,110741
39,5/5/2022 21:47,1,Недоставен продукт (останал в склад/бус),110741
40,24/8/2022 10:16,1,Сух лед,148713
41,29/8/2022 09:07,0,Закъснение,148713
42,3/10/2022 16:32,1,Разменено плащане,148713
43,19/10/2022 10:52,1,Мръсен/прашен продукт,148713
44,21/2/2023 20:12,1,Грешен срок на сайта,148713
45,7/3/2023 07:56,1,Липсващ продукт на касова зона,88143
46,13/6/2023 10:44,1,Доплащане,148713
47,15/6/2023 16:07,1,Доставена торба в повече,123348
48,27/9/2023 11:36,1,Вкусови качества,123348
49,27/9/2023 15:02,1,ПЗ - Лошо качество - в срок на годност/без външни белези,123348
50,3/11/2023 11:20,1,Разминаване с клиентски грамаж,123348
51,18/3/2024 16:22,1,Повреден продукт - склад,123348
52,26/6/2024 14:14,1,Разтопен продукт,123348
53,6/11/2024 09:31,1,Връщане на пари,123348
54,20/11/2024 12:57,1,Грешен произход,123348
55,20/11/2024 12:58,1,Грешна визия на сайта,123348
56,25/11/2024 15:07,1,test,249015
57,14/2/2025 17:32,1,Грешно генерирана торба - ЦИП,123348
