id,created_at,group_id,problem_id
1,3/12/2021 10:18,5,32
2,3/12/2021 10:18,5,31
3,3/12/2021 10:19,1,12
4,3/12/2021 10:19,2,12
5,3/12/2021 10:19,3,12
6,3/12/2021 10:19,1,2
7,3/12/2021 10:19,2,2
8,3/12/2021 10:19,1,29
9,3/12/2021 10:19,2,29
10,3/12/2021 10:19,1,8
11,3/12/2021 10:19,2,8
12,3/12/2021 10:19,3,8
13,3/12/2021 10:19,1,15
14,3/12/2021 10:19,2,15
15,3/12/2021 10:19,1,1
16,3/12/2021 10:19,2,1
17,3/12/2021 10:19,1,6
18,3/12/2021 10:19,3,6
19,3/12/2021 10:20,4,21
20,3/12/2021 10:20,4,30
21,3/12/2021 10:20,1,13
22,3/12/2021 10:20,2,13
23,3/12/2021 10:20,3,13
24,3/12/2021 10:20,4,4
25,3/12/2021 10:20,4,3
26,3/12/2021 10:20,1,7
27,3/12/2021 10:20,2,7
28,3/12/2021 10:20,3,7
29,3/12/2021 10:20,4,20
30,3/12/2021 10:20,4,25
31,3/12/2021 10:20,4,19
32,6/12/2021 10:16,4,33
33,20/4/2022 10:21,4,35
34,20/4/2022 10:21,4,36
35,20/4/2022 10:22,4,37
36,20/4/2022 10:22,4,38
37,5/5/2022 21:47,4,39
38,24/8/2022 10:16,4,40
39,29/8/2022 09:07,4,41
40,3/10/2022 16:32,4,42
41,19/10/2022 10:52,1,43
43,31/10/2022 10:53,2,43
44,7/3/2023 07:56,1,45
45,7/3/2023 07:56,3,45
46,15/6/2023 16:07,4,47
47,27/9/2023 11:36,5,48
48,27/9/2023 15:02,1,49
49,27/9/2023 15:02,2,49
50,18/3/2024 16:22,1,51
51,18/3/2024 16:22,2,51
52,18/3/2024 16:22,3,51
53,26/6/2024 14:14,1,52
54,26/6/2024 14:14,2,52
55,26/6/2024 14:15,4,46
56,20/11/2024 12:57,5,54
57,20/11/2024 12:58,5,55
58,25/11/2024 15:07,1,56
59,25/11/2024 15:07,2,56
60,14/2/2025 17:32,1,57
61,14/2/2025 17:32,3,57
