"order_id","created_at","is_active","problem_id","product_code","problem_name"
2271130,"2023-01-06 21:19:00",1,21,"",Недоставена торба (останалa в склад/бус)
2277975,"2023-01-08 17:44:00",0,8,"902066",Липсващ продукт
2277975,"2023-01-08 17:44:00",0,8,"500375",Липсващ продукт
2278109,"2023-01-08 19:56:00",1,31,"902987",Дефектен продукт
2280518,"2023-01-10 11:15:00",1,3,"002025",Повреден продукт
2291816,"2023-01-14 12:18:00",1,1,"903035",Лошо качество с външни белези
2291816,"2023-01-14 12:18:00",1,1,"907025",Лошо качество с външни белези
2300675,"2023-01-17 14:07:00",1,1,"509008",Лошо качество с външни белези
2302517,"2023-01-18 13:24:00",1,12,"904278",Доставен продукт в повече
2312194,"2023-01-22 08:58:00",1,3,"906409",Повреден продукт
2312562,"2023-01-22 11:59:00",1,33,"102966",Липсващ продукт след касов контрол
2318906,"2023-01-25 11:05:00",1,1,"503397",Лошо качество с външни белези
2318906,"2023-01-25 11:05:00",1,1,"506885",Лошо качество с външни белези
2318906,"2023-01-25 11:05:00",1,1,"004601",Лошо качество с външни белези
2322970,"2023-01-26 14:38:00",1,3,"023071",Повреден продукт
2324368,"2023-01-26 19:59:00",1,32,P4123,Грешно описание на сайта
2324516,"2023-01-27 10:23:00",1,31,"139516",Дефектен продукт
2329078,"2023-01-28 13:26:00",1,1,"402159",Лошо качество с външни белези
2334439,"2023-01-31 13:36:00",1,1,"000239",Лошо качество с външни белези
2340081,"2023-02-01 16:50:00",1,39,"",Недоставен продукт (останал в склад/бус)
2342387,"2023-02-02 13:01:00",1,37,"",Отношение
2344575,"2023-02-03 09:51:00",1,37,"",Отношение
2346293,"2023-02-03 15:58:00",1,21,"",Недоставена торба (останалa в склад/бус)
2345627,"2023-02-03 19:49:00",0,1,"507653",Лошо качество с външни белези
2348521,"2023-02-04 20:45:00",1,8,"509681",Липсващ продукт
2352568,"2023-02-06 10:39:00",1,41,"",Закъснение
2351810,"2023-02-06 10:58:00",1,13,"504373",Объркан продукт
2356262,"2023-02-07 10:49:00",1,39,"",Недоставен продукт (останал в склад/бус)
2360571,"2023-02-08 20:51:00",1,1,"189046",Лошо качество с външни белези
2360571,"2023-02-09 08:42:00",0,1,"189046",Лошо качество с външни белези
2359257,"2023-02-09 09:00:00",1,33,"012004",Липсващ продукт след касов контрол
2347092,"2023-02-09 13:25:00",1,2,"905125",Изтекъл срок
2362735,"2023-02-09 14:45:00",1,20,"",Разменени торби
2362876,"2023-02-09 16:04:00",1,3,"504438",Повреден продукт
2369038,"2023-02-11 17:42:00",1,21,"",Недоставена торба (останалa в склад/бус)
2373957,"2023-02-13 13:40:00",1,13,"000236",Объркан продукт
2374590,"2023-02-14 10:33:00",1,13,"505825",Объркан продукт
2390402,"2023-02-19 18:26:00",1,3,"108522",Повреден продукт
2402671,"2023-02-25 08:08:00",1,8,"039116",Липсващ продукт
2402671,"2023-02-25 08:08:00",1,8,"907781",Липсващ продукт
2402671,"2023-02-25 08:08:00",1,8,"117043",Липсващ продукт
2407116,"2023-02-26 14:38:00",1,31,"903218",Дефектен продукт
2403847,"2023-02-27 17:23:00",1,1,"908484",Лошо качество с външни белези
2408782,"2023-02-28 19:08:00",1,6,"907968",Лошо пакетиране
2415420,"2023-03-01 20:54:00",1,41,"",Закъснение
2419116,"2023-03-03 19:15:00",1,31,"900373",Дефектен продукт
2424461,"2023-03-05 10:29:00",1,31,"001946",Дефектен продукт
2451534,"2023-03-16 16:48:00",1,6,"004407",Лошо пакетиране
2458137,"2023-03-18 08:48:00",1,8,"510082",Липсващ продукт
2464624,"2023-03-22 18:46:00",1,1,"507703",Лошо качество с външни белези
2464624,"2023-03-22 18:46:00",1,1,"901863",Лошо качество с външни белези
2464624,"2023-03-22 18:46:00",1,1,"504511",Лошо качество с външни белези
2470202,"2023-03-22 18:59:00",1,3,"906578",Повреден продукт
2476015,"2023-03-25 11:08:00",1,15,"401070",Лошо качество - в срок на годност/без външни белези
2480632,"2023-03-27 08:47:00",1,45,"909405",Липсващ продукт на касова зона
2486238,"2023-03-29 16:02:00",1,15,"509675",Лошо качество - в срок на годност/без външни белези
2490379,"2023-03-30 20:19:00",1,31,"403968",Дефектен продукт
2507867,"2023-04-07 16:01:00",1,15,"507653",Лошо качество - в срок на годност/без външни белези
2526691,"2023-04-13 12:10:00",1,3,"045500",Повреден продукт
2527092,"2023-04-13 20:23:00",1,1,"189201",Лошо качество с външни белези
2527603,"2023-04-13 21:20:00",1,3,"603340",Повреден продукт
2531700,"2023-04-17 09:54:00",1,1,"909624",Лошо качество с външни белези
2541089,"2023-04-19 18:59:00",1,1,"004311",Лошо качество с външни белези
2553225,"2023-04-24 19:32:00",1,3,"510195",Повреден продукт
