"order_id","user_id","created_at","delay_minutes","delay_bucket","delivery_status","subscription_id","duration_days","subscription_start","subscription_end","has_complaint","is_delayed","is_issue"
3206299,142871,"2023-12-31 06:53:00",-98,ON_TIME,ON_TIME,2,184,"2023-07-26 12:06:00","2024-01-26 11:06:00",0,0,0
3205414,10616,"2023-12-30 20:27:00",-53,ON_TIME,ON_TIME,2,184,"2023-09-09 12:02:00","2024-03-11 11:02:00",0,0,0
3176025,136413,"2023-12-21 13:26:00",-31,ON_TIME,ON_TIME,2,184,"2023-11-13 13:22:00","2024-05-15 13:22:00",0,0,0
3186483,9271,"2023-12-23 17:19:00",-65,ON_TIME,ON_TIME,2,184,"2023-08-04 11:22:00","2024-02-04 10:22:00",0,0,0
3157981,11709,"2023-12-16 11:10:00",-92,ON_TIME,ON_TIME,2,184,"2023-11-10 09:47:00","2024-05-12 09:47:00",0,0,0
3147213,31362,"2023-12-13 08:34:00",-45,ON_TIME,ON_TIME,2,184,"2023-11-21 10:31:00","2024-05-23 10:31:00",0,0,0
3133656,14260,"2023-12-08 20:01:00",-22,ON_TIME,ON_TIME,2,184,"2023-11-03 16:06:00","2024-05-05 16:06:00",0,0,0
3134278,15633,"2023-12-09 03:35:00",-22,ON_TIME,ON_TIME,2,184,"2023-08-20 18:23:00","2024-02-20 17:23:00",0,0,0
3116502,72858,"2023-12-03 16:30:00",-33,ON_TIME,ON_TIME,2,184,"2023-09-08 08:35:00","2024-03-10 07:35:00",0,0,0
3111833,38699,"2023-12-02 12:58:00",-34,ON_TIME,ON_TIME,2,184,"2023-08-19 14:19:00","2024-02-19 13:19:00",0,0,0
3109743,42235,"2023-12-01 17:49:00",-52,ON_TIME,ON_TIME,2,184,"2023-07-08 19:37:00","2024-01-08 18:37:00",0,0,0
3103129,9745,"2023-11-29 16:23:00",-63,ON_TIME,ON_TIME,2,184,"2023-09-17 17:53:00","2024-03-19 16:53:00",0,0,0
3101426,9629,"2023-11-29 09:55:00",-55,ON_TIME,ON_TIME,2,184,"2023-10-12 06:47:00","2024-04-13 05:47:00",0,0,0
3069261,73323,"2023-11-19 13:05:00",-63,ON_TIME,ON_TIME,2,184,"2023-08-21 12:13:00","2024-02-21 11:13:00",0,0,0
3057005,48982,"2023-11-15 16:00:00",-49,ON_TIME,ON_TIME,2,184,"2023-08-17 10:42:00","2024-02-17 09:42:00",0,0,0
3052341,42235,"2023-11-14 06:11:00",-64,ON_TIME,ON_TIME,2,184,"2023-07-08 19:37:00","2024-01-08 18:37:00",0,0,0
3030244,81207,"2023-11-06 20:51:00",-31,ON_TIME,ON_TIME,2,184,"2023-10-09 08:40:00","2024-04-10 07:40:00",0,0,0
3021477,52845,"2023-11-04 02:13:00",-29,ON_TIME,ON_TIME,2,184,"2023-06-23 09:32:00","2023-12-24 08:32:00",0,0,0
3020371,56005,"2023-11-03 16:19:00",-21,ON_TIME,ON_TIME,2,184,"2023-11-01 18:36:00","2024-05-03 18:36:00",0,0,0
3014550,19115,"2023-11-01 17:32:00",-3,ON_TIME,ON_TIME,2,184,"2023-06-14 16:43:00","2023-12-15 15:43:00",0,0,0
2998872,64776,"2023-10-27 08:25:00",-47,ON_TIME,ON_TIME,2,184,"2023-08-18 19:39:00","2024-02-18 18:39:00",0,0,0
2955926,14260,"2023-10-11 17:01:00",-37,ON_TIME,ON_TIME,2,184,"2023-05-03 17:06:00","2023-11-03 16:06:00",0,0,0
2942757,25457,"2023-10-07 00:53:00",-23,ON_TIME,ON_TIME,2,184,"2023-04-08 14:51:00","2023-10-09 14:51:00",0,0,0
2936255,56301,"2023-10-04 15:39:00",-32,ON_TIME,ON_TIME,2,184,"2023-10-01 11:39:00","2024-04-02 10:39:00",0,0,0
2928068,64187,"2023-10-01 13:56:00",-18,ON_TIME,ON_TIME,2,184,"2023-05-16 19:08:00","2023-11-16 18:08:00",0,0,0
2810105,92717,"2023-08-13 19:39:00",-71,ON_TIME,ON_TIME,2,184,"2023-07-02 19:03:00","2024-01-02 18:03:00",0,0,0
2782884,38772,"2023-08-01 16:14:00",-24,ON_TIME,ON_TIME,2,184,"2023-04-07 18:28:00","2023-10-08 18:28:00",0,0,0
2776844,97027,"2023-07-29 22:41:00",-51,ON_TIME,ON_TIME,2,184,"2023-05-26 10:32:00","2023-11-26 09:32:00",0,0,0
2710174,159148,"2023-06-29 13:02:00",-96,ON_TIME,ON_TIME,2,184,"2023-06-19 16:52:00","2023-12-20 15:52:00",0,0,0
2704251,44418,"2023-06-26 15:14:00",-42,ON_TIME,ON_TIME,2,184,"2023-01-27 10:01:00","2023-07-30 11:01:00",0,0,0
2693124,38772,"2023-06-21 14:38:00",-55,ON_TIME,ON_TIME,2,184,"2023-04-07 18:28:00","2023-10-08 18:28:00",0,0,0
2693076,97027,"2023-06-21 14:14:00",-48,ON_TIME,ON_TIME,2,184,"2023-05-26 10:32:00","2023-11-26 09:32:00",0,0,0
2687899,113792,"2023-06-18 20:36:00",-60,ON_TIME,ON_TIME,2,184,"2023-03-28 09:50:00","2023-09-28 09:50:00",0,0,0
2661262,58133,"2023-06-08 00:16:00",-38,ON_TIME,ON_TIME,2,184,"2023-03-23 16:05:00","2023-09-23 17:05:00",0,0,0
2650098,37049,"2023-06-03 11:21:00",-57,ON_TIME,ON_TIME,2,184,"2023-02-18 13:53:00","2023-08-21 14:53:00",0,0,0
2649576,54609,"2023-06-03 06:39:00",-23,ON_TIME,ON_TIME,2,184,"2023-05-14 19:59:00","2023-11-14 18:59:00",0,0,0
2646266,72858,"2023-06-01 17:17:00",-5,ON_TIME,ON_TIME,2,184,"2023-03-08 07:35:00","2023-09-08 08:35:00",0,0,0
2613985,64187,"2023-05-18 19:42:00",-89,ON_TIME,ON_TIME,2,184,"2023-05-16 19:08:00","2023-11-16 18:08:00",0,0,0
2592119,64302,"2023-05-10 12:46:00",-34,ON_TIME,ON_TIME,2,184,"2022-12-24 14:05:00","2023-06-26 15:05:00",0,0,0
2580954,55972,"2023-05-05 17:38:00",-27,ON_TIME,ON_TIME,2,184,"2023-02-14 20:27:00","2023-08-17 21:27:00",0,0,0
2555435,81446,"2023-04-25 11:35:00",-7,ON_TIME,ON_TIME,2,184,"2023-03-03 15:46:00","2023-09-03 16:46:00",0,0,0
2544801,73781,"2023-04-21 03:22:00",-44,ON_TIME,ON_TIME,2,184,"2022-11-29 16:44:00","2023-06-01 17:44:00",0,0,0
2497108,45582,"2023-04-02 08:39:00",-12,ON_TIME,ON_TIME,2,184,"2022-12-06 16:30:00","2023-06-08 17:30:00",0,0,0
2471232,55151,"2023-03-23 05:55:00",-44,ON_TIME,ON_TIME,2,184,"2022-09-21 16:27:00","2023-03-24 15:27:00",0,0,0
2444138,14260,"2023-03-12 13:35:00",-44,ON_TIME,ON_TIME,2,184,"2022-10-30 19:37:00","2023-05-02 20:37:00",0,0,0
2434582,66910,"2023-03-09 01:15:00",-34,ON_TIME,ON_TIME,2,184,"2022-11-22 15:42:00","2023-05-25 16:42:00",0,0,0
2432474,69766,"2023-03-08 08:51:00",-16,ON_TIME,ON_TIME,2,184,"2022-11-27 11:18:00","2023-05-30 12:18:00",0,0,0
2426459,26233,"2023-03-05 17:18:00",-69,ON_TIME,ON_TIME,2,184,"2022-09-27 12:40:00","2023-03-30 12:40:00",0,0,0
2427295,72858,"2023-03-06 05:52:00",-49,ON_TIME,ON_TIME,2,184,"2022-09-05 08:35:00","2023-03-08 07:35:00",0,0,0
2388858,19203,"2023-02-18 21:56:00",-56,ON_TIME,ON_TIME,2,184,"2022-11-24 08:46:00","2023-05-27 09:46:00",0,0,0
2369124,14260,"2023-02-11 14:49:00",-58,ON_TIME,ON_TIME,2,184,"2022-10-30 19:37:00","2023-05-02 20:37:00",0,0,0
2340947,37049,"2023-02-01 13:54:00",-91,ON_TIME,ON_TIME,2,184,"2022-08-18 14:53:00","2023-02-18 13:53:00",0,0,0
